===== [Stage 1] 角色判定（并发=10）=====
[role] 强化学习 -> core | ok=True attempts=1 fallback=False
[role] 自然语言处理 -> core | ok=True attempts=1 fallback=False
[role] 开放式提问 -> core | ok=True attempts=1 fallback=False
[role] 约瑟夫·魏泽鲍姆 -> core | ok=True attempts=1 fallback=False
[role] DOCTOR脚本 -> core | ok=True attempts=1 fallback=False
[role] 假象 -> core | ok=True attempts=1 fallback=False
[role] 文本替换 -> core | ok=True attempts=1 fallback=False
[role] 机器智能 -> core | ok=True attempts=1 fallback=False
[role] 关键词识别与排序 -> core | ok=True attempts=1 fallback=False
[role] 核心机制 -> core | ok=True attempts=1 fallback=False
[role] 情感依赖 -> core | ok=True attempts=1 fallback=False
[role] 规则驱动对话系统 -> core | ok=True attempts=1 fallback=False
[role] 正则表达式 -> core | ok=True attempts=1 fallback=False
[role] 重组规则 -> core | ok=True attempts=1 fallback=False
[role] 自然语言理解 -> core | ok=True attempts=1 fallback=False
[role] 模式匹配 -> core | ok=True attempts=1 fallback=False
[role] 马文·明斯基 -> core | ok=True attempts=1 fallback=False
[role] 代词转换 -> core | ok=True attempts=1 fallback=False
[role] ELIZA效应 -> core | ok=True attempts=1 fallback=False
[role] 符号主义方法 -> core | ok=True attempts=1 fallback=False
[role] 思维的多样性 -> core | ok=True attempts=1 fallback=False
[role] 层次结构 -> core | ok=True attempts=1 fallback=False
[role] 智能系统 -> core | ok=True attempts=1 fallback=False
[role] 中央处理器 -> core | ok=True attempts=1 fallback=False
[role] 自上而下设计 -> core | ok=True attempts=1 fallback=False
[role] 《心智社会》 -> non-core | ok=True attempts=1 fallback=False
[role] 社会 -> core | ok=True attempts=1 fallback=False
[role] 自然智能 -> core | ok=True attempts=1 fallback=False
[role] 明斯基 -> non-core | ok=True attempts=1 fallback=False
[role] 心智过程 -> core | ok=True attempts=1 fallback=False
[role] 层级结构 -> core | ok=True attempts=1 fallback=False
[role] 常识 -> core | ok=True attempts=1 fallback=False
[role] 搭积木塔 -> core | ok=True attempts=1 fallback=False
[role] 心智 -> core | ok=True attempts=1 fallback=False
[role] 心智社会 -> core | ok=True attempts=1 fallback=False
[role] 理解 -> core | ok=True attempts=1 fallback=False
[role] 局部交互 -> core | ok=True attempts=1 fallback=False
[role] 经验与规则交织的网络 -> non-core | ok=True attempts=1 fallback=False
[role] 非线性 -> core | ok=True attempts=1 fallback=False
[role] 自组织特性 -> core | ok=True attempts=1 fallback=False
[role] 涌现式计算 -> core | ok=True attempts=1 fallback=False
[role] 心智社会理论 -> core | ok=True attempts=1 fallback=False
[role] 自下而上的方法 -> core | ok=True attempts=1 fallback=False
[role] 去中心化控制 -> core | ok=True attempts=1 fallback=False
[role] 机构 -> non-core | ok=True attempts=1 fallback=False
[role] 联结主义 -> core | ok=True attempts=1 fallback=False
[role] 智能体的社会性 -> core | ok=True attempts=1 fallback=False
[role] 多智能体系统 -> core | ok=True attempts=1 fallback=False
[role] 学习系统 -> core | ok=True attempts=1 fallback=False
[role] 群体智能 -> core | ok=True attempts=1 fallback=False
[role] 生物神经网络结构 -> core | ok=True attempts=1 fallback=False
[role] 适应性系统 -> core | ok=True attempts=1 fallback=False
[role] 连接权重 -> core | ok=True attempts=1 fallback=False
[role] 分布式存储 -> core | ok=True attempts=1 fallback=False
[role] 反向传播 -> core | ok=True attempts=1 fallback=False
[role] 序贯决策问题 -> core | ok=True attempts=1 fallback=False
[role] 行动 -> core | ok=True attempts=1 fallback=False
[role] 深度学习 -> core | ok=True attempts=1 fallback=False
[role] 奖励 -> core | ok=True attempts=1 fallback=False
[role] 状态 -> core | ok=True attempts=1 fallback=False
[role] 长期收益 -> core | ok=True attempts=1 fallback=False
[role] 自监督学习 -> core | ok=True attempts=1 fallback=False
[role] 预训练与微调范式 -> core | ok=True attempts=1 fallback=False
[role] 感知-行动 -> core | ok=True attempts=1 fallback=False
[role] 思维链推理 -> core | ok=True attempts=1 fallback=False
[role] 推理引擎 -> core | ok=True attempts=1 fallback=False
[role] 大型语言模型 -> core | ok=True attempts=1 fallback=False
[role] 上下文学习 -> core | ok=True attempts=1 fallback=False
[role] 超大规模模型 -> core | ok=True attempts=1 fallback=False
[role] 累积奖励 -> core | ok=True attempts=1 fallback=False
[role] 语言的规律 -> core | ok=True attempts=1 fallback=False
[role] 上下文逻辑 -> core | ok=True attempts=1 fallback=False
[role] LLM驱动的智能体 -> core | ok=True attempts=1 fallback=False
[role] 规划模块 -> core | ok=True attempts=1 fallback=False
[role] 通用组件 -> core | ok=True attempts=1 fallback=False
[role] 执行模块 -> core | ok=True attempts=1 fallback=False
[role] 事实 -> core | ok=True attempts=1 fallback=False
[role] 参数量 -> core | ok=True attempts=1 fallback=False
[role] 语法 -> core | ok=True attempts=1 fallback=False
[role] 环境状态变化 -> core | ok=True attempts=1 fallback=False
[role] 工具调用指令 -> core | ok=True attempts=1 fallback=False
[role] 闭环循环 -> core | ok=True attempts=1 fallback=False
[role] 自主感知 -> core | ok=True attempts=1 fallback=False
[role] 决策 -> core | ok=True attempts=1 fallback=False
[role] 感知模块 -> core | ok=True attempts=1 fallback=False
[role] 工具结果 -> core | ok=True attempts=1 fallback=False
[role] 深度神经网络 -> core | ok=True attempts=1 fallback=False
[role] GPT系列大语言模型 -> core | ok=True attempts=1 fallback=False
[role] 神经-符号结合 -> core | ok=True attempts=1 fallback=False
[role] 执行 -> core | ok=True attempts=1 fallback=False
[role] 行为主义 -> core | ok=True attempts=1 fallback=False
[role] AI Agent技术栈 -> core | ok=True attempts=1 fallback=False
[role] 树搜索技术 -> core | ok=True attempts=1 fallback=False
[role] 多智能体 -> core | ok=True attempts=1 fallback=False
[role] 大规模预训练模型 -> core | ok=True attempts=1 fallback=False
[role] 语言模型 -> core | ok=True attempts=1 fallback=False
[role] N-gram模型 -> core | ok=True attempts=1 fallback=False
[role] 词嵌入 -> core | ok=True attempts=1 fallback=False
[role] 闭环交互机制 -> core | ok=True attempts=1 fallback=False
[role] 长期依赖 -> non-core | ok=True attempts=1 fallback=False
[role] LSTM -> core | ok=True attempts=1 fallback=False
[role] 遗忘门 -> core | ok=True attempts=1 fallback=False
[role] Bigram -> core | ok=True attempts=1 fallback=False
[role] 注意力机制 -> core | ok=True attempts=1 fallback=False
[role] Trigram -> core | ok=True attempts=1 fallback=False
[role] 输入门 -> core | ok=True attempts=1 fallback=False
[role] 自注意力 -> core | ok=True attempts=1 fallback=False
[role] 多头注意力 -> core | ok=True attempts=1 fallback=False
[role] 输出门 -> non-core | ok=True attempts=1 fallback=False
[role] 循环神经网络 -> core | ok=True attempts=1 fallback=False
[role] 解码器 -> core | ok=True attempts=1 fallback=False
[role] 查询向量 -> core | ok=True attempts=1 fallback=False
[role] 编码器 -> core | ok=True attempts=1 fallback=False
[role] 缩放点积 -> core | ok=True attempts=1 fallback=False
[role] 门控机制 -> core | ok=True attempts=1 fallback=False
[role] Transformer模型 -> core | ok=True attempts=1 fallback=False
[role] 目标序列 -> core | ok=True attempts=1 fallback=False
[role] 上下文向量 -> core | ok=True attempts=1 fallback=False
[role] 键向量 -> core | ok=True attempts=1 fallback=False
[role] 值向量 -> core | ok=True attempts=1 fallback=False
[role] 词元 -> non-core | ok=True attempts=1 fallback=False
[role] Softmax -> core | ok=True attempts=1 fallback=False
===== [Stage 2] 选择父 core 并保证覆盖所有 non-core =====
non-core 总数=45，已分配父=45
===== [Stage 3] 关系类型判定（并发=10）并写边 =====
[edge] 智能体 -> 明斯基 (related) | removed_horizontal=2
[edge] 智能旅行助手 -> 系统1 (related) | removed_horizontal=2
[edge] 智能体 -> 机构 (related) | removed_horizontal=2
[edge] 智能体 -> 旅游推荐 (applies-to) | removed_horizontal=2
[edge] 智能体 -> 经验与规则交织的网络 (related) | removed_horizontal=2
[edge] 智能体 -> 开发者工具 (related) | removed_horizontal=2
[edge] 执行器 -> 环境状态 (applies-to) | removed_horizontal=2
[edge] 智能旅行助手 -> 电商退款 (related) | removed_horizontal=2
[edge] 提示工程 -> requests库 (related) | removed_horizontal=2
[edge] 提示工程 -> 可维护性 (related) | removed_horizontal=2
[edge] 提示工程 -> Tavily搜索API (related) | removed_horizontal=2
[edge] 提示工程 -> 字典 (related) | removed_horizontal=2
[edge] 提示工程 -> OpenAI SDK (applies-to) | removed_horizontal=2
[edge] 提示工程 -> wttr.in API (related) | removed_horizontal=2
[edge] 大语言模型 -> 外部工具 (related) | removed_horizontal=2
[edge] 提示工程 -> Tavily-Dvthon (related) | removed_horizontal=2
[edge] 提示工程 -> 工具函数 (applies-to) | removed_horizontal=2
[edge] 任务分解 -> 三轮循环 (applies-to) | removed_horizontal=2
[edge] 提示工程 -> 扩展性 (related) | removed_horizontal=2
[edge] 提示工程 -> 模块化 (related) | removed_horizontal=2
[edge] Ollama -> Azure (applies-to) | removed_horizontal=2
[edge] Ollama -> OpenAI (related) | removed_horizontal=2
[edge] Ollama -> MODEL_ID (applies-to) | removed_horizontal=2
[edge] Ollama -> VLLM (related) | removed_horizontal=2
[edge] Ollama -> BASE_URL (part-of) | removed_horizontal=2
[edge] Ollama -> openAICompatibleClient (applies-to) | removed_horizontal=2
[edge] Ollama -> API_KEY (related) | removed_horizontal=2
[edge] Ollama -> 消息列表 (related) | removed_horizontal=2
[edge] Ollama -> LLM服务提供商 (related) | removed_horizontal=2
[edge] Ollama -> 用户提示 (related) | removed_horizontal=2
[edge] Ollama -> 错误信息 (related) | removed_horizontal=2
[edge] Ollama -> 系统提示 (related) | removed_horizontal=2
[edge] 上下文理解 -> Claude Code (applies-to) | removed_horizontal=2
[edge] Ollama -> 生成结果 (applies-to) | removed_horizontal=2
[edge] 上下文理解 -> GitHub Copilot (applies-to) | removed_horizontal=2
[edge] 上下文理解 -> 无交互模式 (applies-to) | removed_horizontal=2
[edge] 上下文理解 -> 轻量与快速响应 (related) | removed_horizontal=2
[edge] 上下文理解 -> 深度开发功能 (applies-to) | removed_horizontal=2
[edge] 符号主义 -> 修改 (related) | removed_horizontal=2
[edge] 上下文理解 -> Trae (related) | removed_horizontal=2
[edge] ELIZA -> 《心智社会》 (related) | removed_horizontal=2
[edge] 语言模型 -> 长期依赖 (related) | removed_horizontal=2
[edge] 注意力机制 -> 词元 (related) | removed_horizontal=2
[edge] 专家系统 -> 细菌性血液感染 (related) | removed_horizontal=2
[edge] 语言模型 -> 输出门 (part-of) | removed_horizontal=2
完成，共处理 330 个实体。输出文件：D:\python练习\TreeKG\src\HiddenKG\output\aggr_entities.json
===== [Stage 1] 角色判定（并发=10）=====
[role] 效用函数 -> core | ok=True attempts=1 fallback=False
[role] 先验知识 -> core | ok=True attempts=1 fallback=False
[role] 基于模型的反射智能体 -> core | ok=True attempts=1 fallback=False
[role] 基于效用的智能体 -> core | ok=True attempts=1 fallback=False
[role] 大语言模型 -> core | ok=True attempts=1 fallback=False
[role] 反射智能体 -> core | ok=True attempts=1 fallback=False
[role] 基于目标的智能体 -> core | ok=True attempts=1 fallback=False
[role] 决策策略 -> core | ok=True attempts=1 fallback=False
[role] AlphaGo -> non-core | ok=True attempts=1 fallback=False
[role] 强化学习机制 -> core | ok=True attempts=1 fallback=False
[role] 显式编程 -> core | ok=True attempts=1 fallback=False
[role] 隐式世界模型 -> core | ok=True attempts=1 fallback=False
[role] 智能体 -> core | ok=True attempts=1 fallback=False
[role] 涌现能力 -> core | ok=True attempts=1 fallback=False
[role] 外部工具 -> core | ok=True attempts=1 fallback=False
[role] 任务分解 -> core | ok=True attempts=1 fallback=False
[role] 自然语言指令 -> core | ok=True attempts=1 fallback=False
[role] 用户反馈 -> core | ok=True attempts=1 fallback=False
[role] 传统智能体 -> core | ok=True attempts=1 fallback=False
[role] 混合式智能体 -> core | ok=True attempts=1 fallback=False
[role] 规划式智能体 -> core | ok=True attempts=1 fallback=False
[role] 智能旅行助手 -> core | ok=True attempts=1 fallback=False
[role] 人工智能智能体 -> core | ok=True attempts=1 fallback=False
[role] 神经符号主义AI -> core | ok=True attempts=1 fallback=False
[role] 大语言模型驱动的智能体 -> core | ok=True attempts=1 fallback=False
[role] 自主规划 -> core | ok=True attempts=1 fallback=False
[role] 连接主义AI -> core | ok=True attempts=1 fallback=False
[role] 学习 -> core | ok=True attempts=1 fallback=False
[role] 符号主义AI -> core | ok=True attempts=1 fallback=False
[role] 反应式 -> core | ok=True attempts=1 fallback=False
[role] 行程规划 -> core | ok=True attempts=1 fallback=False
[role] 逻辑推理能力 -> core | ok=True attempts=1 fallback=False
[role] 反应式智能体 -> core | ok=True attempts=1 fallback=False
[role] 模型式 -> core | ok=True attempts=1 fallback=False
[role] 效用导向 -> core | ok=True attempts=1 fallback=False
[role] 神经网络 -> core | ok=True attempts=1 fallback=False
[role] 数据学习能力 -> core | ok=True attempts=1 fallback=False
[role] 感知与认知 -> core | ok=True attempts=1 fallback=False
[role] 性能度量 -> core | ok=True attempts=1 fallback=False
[role] 目标导向 -> core | ok=True attempts=1 fallback=False
[role] PEAS模型 -> core | ok=True attempts=1 fallback=False
[role] 执行器 -> core | ok=True attempts=1 fallback=False
[role] 感知-思考-行动-观察循环 -> core | ok=True attempts=1 fallback=False
[role] 智能体循环 -> core | ok=True attempts=1 fallback=False
[role] 序贯动态性 -> core | ok=True attempts=1 fallback=False
[role] 部分可观察性 -> core | ok=True attempts=1 fallback=False
[role] 多智能体交互 -> core | ok=True attempts=1 fallback=False
[role] 传感器 -> core | ok=True attempts=1 fallback=False
[role] 环境 -> core | ok=True attempts=1 fallback=False
[role] 思考阶段 -> core | ok=True attempts=1 fallback=False
[role] 行动阶段 -> core | ok=True attempts=1 fallback=False
[role] 感知阶段 -> core | ok=True attempts=1 fallback=False
[role] 观察 -> core | ok=True attempts=1 fallback=False
[role] 感知系统 -> core | ok=True attempts=1 fallback=False
[role] 不确定性 -> core | ok=True attempts=1 fallback=False
[role] 交互协议 -> core | ok=True attempts=1 fallback=False
[role] 工具选择 -> core | ok=True attempts=1 fallback=False
[role] 任务目标 -> core | ok=True attempts=1 fallback=False
[role] 规划 -> core | ok=True attempts=1 fallback=False
[role] Thought -> core | ok=True attempts=1 fallback=False
[role] Tavily-Dvthon -> non-core | ok=True attempts=1 fallback=False
[role] Action -> core | ok=True attempts=3 fallback=False
[role] 提示工程 -> core | ok=True attempts=3 fallback=False
[role] 任务执行循环 -> core | ok=True attempts=3 fallback=False
[role] 函数调用 -> core | ok=True attempts=3 fallback=False
[role] Observation -> core | ok=True attempts=3 fallback=False
[role] 指令模板 -> core | ok=True attempts=3 fallback=False
[role] 字典 -> non-core | ok=True attempts=1 fallback=False
[role] Tavily搜索API -> non-core | ok=True attempts=3 fallback=False
[role] 工具函数 -> non-core | ok=True attempts=1 fallback=False
[role] OpenAI SDK -> non-core | ok=True attempts=3 fallback=False
[role] requests库 -> non-core | ok=True attempts=3 fallback=False
[role] 灵活性 -> core | ok=True attempts=1 fallback=False
[role] wttr.in API -> non-core | ok=True attempts=3 fallback=False
[role] 可维护性 -> non-core | ok=True attempts=1 fallback=False
[role] openAICompatibleclient -> core | ok=True attempts=3 fallback=False
[role] OpenAI API -> non-core | ok=True attempts=3 fallback=False
[role] 扩展性 -> non-core | ok=True attempts=3 fallback=False
[role] MODEL_ID -> non-core | ok=True attempts=3 fallback=False
[role] 用户提示 -> non-core | ok=True attempts=1 fallback=False
[role] API_KEY -> non-core | ok=True attempts=3 fallback=False
[role] 系统提示 -> non-core | ok=True attempts=1 fallback=False
[role] 模块化 -> non-core | ok=True attempts=3 fallback=False
[role] LLM服务提供商 -> core | ok=True attempts=3 fallback=False
[role] BASE_URL -> non-core | ok=True attempts=3 fallback=False
[role] 消息列表 -> non-core | ok=True attempts=3 fallback=False
[role] LLM API -> core | ok=True attempts=3 fallback=False
[role] 主循环 -> core | ok=True attempts=1 fallback=False
[role] 生成结果 -> core | ok=True attempts=1 fallback=False
[role] Prompt -> core | ok=True attempts=3 fallback=False
[role] LangChain -> core | ok=True attempts=3 fallback=False
[role] 自主行为 -> core | ok=True attempts=3 fallback=False
[role] Llamalndex -> core | ok=True attempts=3 fallback=False
[role] 协作模式 -> core | ok=True attempts=3 fallback=False
[role] 模糊意图 -> core | ok=True attempts=1 fallback=False
[role] 三轮循环 -> core | ok=True attempts=3 fallback=False
[role] LLM -> core | ok=True attempts=3 fallback=False
[role] 上下文理解 -> core | ok=True attempts=3 fallback=False
[role] 工具调用 -> core | ok=True attempts=1 fallback=False
[role] 错误信息 -> non-core | ok=True attempts=3 fallback=False
[role] 工具 -> core | ok=True attempts=3 fallback=False
[role] 高效工具 -> core | ok=True attempts=1 fallback=False
[role] AI编程辅助工具 -> core | ok=True attempts=2 fallback=False
[role] 自主性程度 -> core | ok=True attempts=2 fallback=False
[role] Trae -> non-core | ok=True attempts=2 fallback=False
[role] 代码自动补全 -> core | ok=True attempts=2 fallback=False
[role] AI原生编辑器 -> core | ok=True attempts=1 fallback=False
[role] 深度学习技术 -> core | ok=True attempts=1 fallback=False
[role] 目标-委托 -> core | ok=True attempts=1 fallback=False
[role] Claude Code -> non-core | ok=True attempts=1 fallback=False
[role] Cursor -> core | ok=True attempts=3 fallback=False
[role] AgentGPT -> core | ok=True attempts=1 fallback=False
[role] 自主协作者 -> core | ok=True attempts=3 fallback=False
[role] GitHub Copilot -> non-core | ok=True attempts=3 fallback=False
[role] 可执行步骤 -> core | ok=True attempts=3 fallback=False
[role] 人机协同模式 -> core | ok=True attempts=2 fallback=False
[role] 适应性 -> core | ok=True attempts=3 fallback=False
[role] 结果合成 -> core | ok=True attempts=3 fallback=False
[role] MetaGPT -> core | ok=True attempts=1 fallback=False
[role] 状态图 -> core | ok=True attempts=1 fallback=False
[role] 电商退款 -> non-core | ok=True attempts=3 fallback=False
[role] LangGraph -> core | ok=True attempts=3 fallback=False
[role] 单智能体自主循环 -> core | ok=True attempts=3 fallback=False
[role] 多智能体协作 -> core | ok=True attempts=3 fallback=False
[role] 高级控制流架构 -> core | ok=True attempts=3 fallback=False
[role] CAMEL -> core | ok=True attempts=3 fallback=False
[role] CrewAI -> core | ok=True attempts=3 fallback=False
[role] 智能健身教练 -> core | ok=True attempts=3 fallback=False
[role] Workflow -> core | ok=True attempts=3 fallback=False
[role] 亚符号主义 -> non-core | ok=True attempts=1 fallback=False
[role] 用户投诉处理 -> core | ok=True attempts=1 fallback=False
[role] 幻觉 -> core | ok=True attempts=3 fallback=False
[role] 系统2 -> core | ok=True attempts=3 fallback=False
[role] 闭环迭代 -> core | ok=True attempts=3 fallback=False
[role] Agent -> core | ok=True attempts=3 fallback=False
[role] 数据驱动 -> core | ok=True attempts=3 fallback=False
[role] 循环 -> core | ok=True attempts=3 fallback=False
[role] 评估复杂性 -> core | ok=True attempts=3 fallback=False
[role] 混合智能 -> core | ok=True attempts=3 fallback=False
[role] 神经符号主义 -> core | ok=True attempts=3 fallback=False
[role] 符号主义 -> core | ok=True attempts=1 fallback=False
[role] 规则驱动 -> core | ok=True attempts=3 fallback=False
[role] 系统1 -> core | ok=True attempts=3 fallback=False
[role] 符号 -> core | ok=True attempts=1 fallback=False
[role] 准确率 -> non-core | ok=True attempts=1 fallback=False
[role] 旅游推荐 -> non-core | ok=True attempts=1 fallback=False
[role] 开发者工具 -> non-core | ok=True attempts=1 fallback=False
[role] 操作过程 -> core | ok=True attempts=3 fallback=False
[role] 多维度标准 -> core | ok=True attempts=3 fallback=False
[role] 专家系统 -> core | ok=True attempts=3 fallback=False
[role] 自动规划 -> core | ok=True attempts=3 fallback=False
[role] 物理符号系统 -> core | ok=True attempts=3 fallback=False
[role] 表达式 -> core | ok=True attempts=3 fallback=False
[role] 物理符号系统假说 -> core | ok=True attempts=3 fallback=False
[role] 通用智能行为 -> core | ok=True attempts=3 fallback=False
[role] 赫伯特·西蒙 -> core | ok=True attempts=3 fallback=False
[role] 艾伦·纽厄尔 -> core | ok=True attempts=3 fallback=False
[role] 充分性论断 -> core | ok=True attempts=1 fallback=False
[role] 知识库 -> core | ok=True attempts=1 fallback=False
[role] 自然语言交互 -> core | ok=True attempts=2 fallback=False
[role] 感知-思考-行动 -> core | ok=True attempts=1 fallback=False
[role] 置信因子 -> core | ok=True attempts=3 fallback=False
[role] 记忆 -> core | ok=True attempts=1 fallback=False
[role] 产生式规则 -> core | ok=True attempts=3 fallback=False
[role] 推理机 -> core | ok=True attempts=3 fallback=False
[role] 必要性论断 -> core | ok=True attempts=3 fallback=False
[role] 正向链 -> core | ok=True attempts=3 fallback=False
[role] 反向链 -> core | ok=True attempts=3 fallback=False
[role] 语言理解 -> core | ok=True attempts=3 fallback=False
[role] 细菌性血液感染 -> non-core | ok=True attempts=3 fallback=False
[role] MYCIN -> core | ok=True attempts=3 fallback=False
[role] SHRDLU -> core | ok=True attempts=1 fallback=False
[role] 自主规划执行动作 -> core | ok=True attempts=1 fallback=False
[role] 回答关于行为历史的问题 -> core | ok=True attempts=3 fallback=False
[role] 回答关于世界状态的问题 -> core | ok=True attempts=3 fallback=False
[role] 上下文记忆 -> core | ok=True attempts=3 fallback=False
[role] 综合性智能体 -> core | ok=True attempts=3 fallback=False
[role] 真正理解 -> core | ok=True attempts=3 fallback=False
[role] 回答关于动机的问题 -> core | ok=True attempts=3 fallback=False
[role] 框架问题 -> core | ok=True attempts=3 fallback=False
[role] 指代消解 -> core | ok=True attempts=3 fallback=False
[role] 内隐知识 -> core | ok=True attempts=3 fallback=False
[role] 知识获取瓶颈 -> core | ok=True attempts=1 fallback=False
[role] 预设规则 -> core | ok=True attempts=1 fallback=False
[role] 常识问题 -> core | ok=True attempts=1 fallback=False
[role] 通用人工智能 -> core | ok=True attempts=1 fallback=False
[role] 符号处理 -> core | ok=True attempts=3 fallback=False
[role] ELIZA -> core | ok=True attempts=3 fallback=False
[role] 系统脆弱性 -> core | ok=True attempts=3 fallback=False
[role] 常识库 -> core | ok=True attempts=3 fallback=False
[role] 自然语言处理 -> core | ok=True attempts=3 fallback=False
[role] DOCTOR脚本 -> core | ok=True attempts=3 fallback=False
[role] 罗杰斯学派 -> core | ok=True attempts=3 fallback=False
[role] 情感理解 -> non-core | ok=True attempts=3 fallback=False
[role] 动态世界 -> non-core | ok=True attempts=3 fallback=False
[role] 约瑟夫·魏泽鲍姆 -> core | ok=True attempts=3 fallback=False
[role] 模式匹配 -> core | ok=True attempts=3 fallback=False
[role] 用户对机器智能的误解 -> core | ok=True attempts=1 fallback=False
[role] 情感依赖 -> core | ok=True attempts=1 fallback=False
[role] 文本替换 -> core | ok=True attempts=3 fallback=False
[role] 规则驱动方法 -> core | ok=True attempts=3 fallback=False
[role] 自然语言理解 -> core | ok=True attempts=3 fallback=False
[role] 正则表达式 -> core | ok=True attempts=3 fallback=False
[role] 开放式提问 -> core | ok=True attempts=3 fallback=False
[role] 核心机制 -> core | ok=True attempts=3 fallback=False
[role] 规则驱动对话系统 -> core | ok=True attempts=3 fallback=False
[role] 思维的多样性与层次结构 -> core | ok=True attempts=1 fallback=False
[role] 代词转换 -> core | ok=True attempts=1 fallback=False
[role] 《心智社会》 -> core | ok=True attempts=1 fallback=False
[role] 逻辑规则 -> core | ok=True attempts=1 fallback=False
[role] 语义理解 -> core | ok=True attempts=1 fallback=False
[role] 符号主义方法 -> core | ok=True attempts=3 fallback=False
[role] 规则匹配 -> core | ok=True attempts=3 fallback=False
[role] 重组规则 -> core | ok=True attempts=3 fallback=False
[role] 自上而下设计 -> core | ok=True attempts=1 fallback=False
[role] 马文·明斯基 -> core | ok=True attempts=1 fallback=False
[role] ELIZA效应 -> core | ok=True attempts=1 fallback=False
[role] 关键词识别与排序 -> core | ok=True attempts=1 fallback=False
[role] 常识 -> core | ok=True attempts=3 fallback=False
[role] 明斯基 -> non-core | ok=True attempts=3 fallback=False
[role] 规则扩展能力 -> core | ok=True attempts=3 fallback=False
[role] 中央处理器 -> non-core | ok=True attempts=3 fallback=False
[role] 非线性 -> core | ok=True attempts=1 fallback=False
[role] 心智社会理论 -> core | ok=True attempts=1 fallback=False
[role] 社会 -> core | ok=True attempts=3 fallback=False
[role] 局部交互 -> core | ok=True attempts=3 fallback=False
[role] 自然智能 -> core | ok=True attempts=3 fallback=False
[role] 心智过程 -> core | ok=True attempts=3 fallback=False
[role] 层级结构 -> core | ok=True attempts=3 fallback=False
[role] 搭积木塔 -> core | ok=True attempts=1 fallback=False
[role] 自组织特性 -> core | ok=True attempts=1 fallback=False
[role] 理解 -> core | ok=True attempts=3 fallback=False
[role] 去中心化控制 -> core | ok=True attempts=3 fallback=False
[role] 反向传播 -> core | ok=True attempts=3 fallback=False
[role] 多智能体系统 -> core | ok=True attempts=3 fallback=False
[role] 生物神经网络结构 -> core | ok=True attempts=3 fallback=False
[role] 机构 -> core | ok=True attempts=3 fallback=False
[role] 涌现式计算 -> core | ok=True attempts=3 fallback=False
[role] 自下而上的方法 -> core | ok=True attempts=3 fallback=False
[role] 学习系统 -> core | ok=True attempts=3 fallback=False
[role] 智能体的社会性 -> core | ok=True attempts=3 fallback=False
[role] 分布式存储 -> core | ok=True attempts=1 fallback=False
[role] 连接权重 -> core | ok=True attempts=1 fallback=False
[role] 适应性系统 -> core | ok=True attempts=3 fallback=False
[role] 序贯决策问题 -> core | ok=True attempts=3 fallback=False
[role] 累积奖励 -> core | ok=True attempts=3 fallback=False
[role] 深度学习 -> core | ok=True attempts=3 fallback=False
[role] 强化学习 -> core | ok=True attempts=3 fallback=False
[role] 状态 -> core | ok=True attempts=3 fallback=False
[role] 感知-行动闭环 -> core | ok=True attempts=1 fallback=False
[role] 联结主义 -> core | ok=False attempts=3 fallback=True
[role] 行动 -> core | ok=True attempts=3 fallback=False
[role] 预训练与微调范式 -> core | ok=True attempts=1 fallback=False
[role] 奖励 -> core | ok=True attempts=3 fallback=False
[role] 自监督学习 -> core | ok=True attempts=1 fallback=False
[role] 超大规模模型 -> core | ok=True attempts=1 fallback=False
[role] 上下文学习 -> core | ok=True attempts=1 fallback=False
[role] 事实 -> core | ok=True attempts=3 fallback=False
[role] 语言规律 -> core | ok=True attempts=3 fallback=False
[role] 参数量 -> core | ok=True attempts=3 fallback=False
[role] 上下文逻辑 -> core | ok=True attempts=3 fallback=False
[role] 自我对弈 -> core | ok=False attempts=3 fallback=True
[role] LLM驱动的智能体 -> core | ok=True attempts=1 fallback=False
[role] 闭环循环 -> core | ok=True attempts=3 fallback=False
[role] 语法 -> core | ok=True attempts=3 fallback=False
[role] 思维链推理 -> core | ok=True attempts=3 fallback=False
[role] 世界知识 -> core | ok=True attempts=1 fallback=False
[role] 大型语言模型 -> core | ok=True attempts=3 fallback=False
[role] 感知模块 -> core | ok=True attempts=1 fallback=False
[role] 通用组件 -> core | ok=True attempts=3 fallback=False
[role] 自主感知 -> core | ok=True attempts=1 fallback=False
[role] 执行模块 -> core | ok=True attempts=1 fallback=False
[role] 行为主义 -> core | ok=True attempts=1 fallback=False
[role] 规划模块 -> core | ok=True attempts=1 fallback=False
[role] 工具结果 -> core | ok=True attempts=3 fallback=False
[role] 持续迭代 -> core | ok=True attempts=3 fallback=False
[role] 环境状态变化 -> non-core | ok=True attempts=3 fallback=False
[role] 模块化协作 -> core | ok=True attempts=3 fallback=False
[role] 自主执行 -> core | ok=True attempts=3 fallback=False
[role] 工具调用指令 -> non-core | ok=True attempts=3 fallback=False
[role] AI Agent技术栈 -> core | ok=True attempts=1 fallback=False
[role] 树搜索技术 -> core | ok=True attempts=3 fallback=False
[role] GPT系列大语言模型 -> core | ok=True attempts=1 fallback=False
[role] 闭环交互机制 -> core | ok=True attempts=1 fallback=False
[role] 神经-符号结合 -> core | ok=True attempts=1 fallback=False
[role] 自主决策 -> core | ok=True attempts=3 fallback=False
[role] 大规模预训练模型 -> core | ok=True attempts=3 fallback=False
